review_heading,review_text,user_name,review_rating,review_date,review_likes
Flying fox amazing,"One of the High lights of our month in India. My 10 year old was the bravest and first to be off, while I was scared stiff but Samy our guide was amazing. We had such a good time, small group and the guides were...More",barb o,5.0,Reviewed 27 March 2018,0
Unique view of Jodhpur... at speed ,"This was a really cool way to start our day. Cruising from platform to platform at high speeds taking in views of the fort, the blue city and surrounding desert. The zip-lining itself is easy and fun and they give an adequate, albeit brief,safety overview...More",Zev and Sam F,4.0,Reviewed 25 March 2018,0
Amazing!,"This is really amazing! Great view over the blue city and the fort.
Great guys and very friendly and helpful.
When you are in Jodphur and visiting the fort, you definitely should do this.
Loved it!!More",HenriqueVdStar,5.0,Reviewed 20 March 2018,0
Unique zip line experience,"Do this in the morning before it gets too hot! There is climbing to each of the zip line stations, so be prepared for tje effort. Very safe. Good guides had us practice first. Loved this experience.",WillowPittsburgh,5.0,Reviewed 20 March 2018,0
If you love adventure,"Actually ,there is no fear but if someone has never done it before he will just be a little fearful. In the starting, I was also scared but second and till sixth time I throughly enjoyed..",A TripAdvisor Member,5.0,Reviewed 20 March 2018,0
Incredible experience,"It was amazing ""flying"" around the fort and the views from the lakes, the city and the fort. It felt really safety and we went through the safety features several times until everyone was comfortable. I would come back again",Inés G,5.0,Reviewed 19 March 2018,0
Flying Fox (Zipline),"South Asia's best flyingfox.
It was really fun to do zipline.
They take all safety measurements before letting you.
They also give you demo.
And for the price its the best, The zipline ride takes around 40-45 mins to complete as it contains 5 different...More",abhishekgupta099,5.0,Reviewed 19 March 2018,0
Great experience and a good zip team ,"Fun experience which offers you great look over the blue city, the fort and lake around it. The company is well established and runs a good set up, you need to register for a time slot so be prepared to get back to the start...More",Jatinder M,4.0,Reviewed 7 March 2018,0
Amazing.,"Amazing experience, courteous staff, experienced one of the best zip line course. Worth the time and money.",Arjun S,5.0,Reviewed 3 March 2018,0
Safe fun and value for money,Highly recommend doing this. It's safe well guided and value for money. Booking online is alittle cheaper. We had a great instructor called sachin. He was easy to talk to and even pointed out some great spots like where the dark knight was filmed. Highly...More,Leena S,5.0,Reviewed 23 February 2018,0
Awesome!! Unique course with great views of fort and Blue City,"We had pre-booked the tickets on the internet, so we could walk right to the part of the fort were Flying Fox was based. Staff was knowlegeable and gave us good gear, clear instructions and a helpful test run on a practise course. It was...More",Arthur-v-A,5.0,Reviewed 22 February 2018,0
I went for my birthday and it was awesome,"I went here for my birthday. the zip were great, and the staff was super nice and fun to hang out with. After we went to the buffet nearby for some amazing indian food!",Ryan L,5.0,Reviewed 21 February 2018,0
Do this when in Jodhpur,"As a party of 8, with 4 teenagers, we had had our fill of forts, palaces and temples, amazing though they are. This was exactly what we needed. Well organised and great fun.",blah1025,5.0,Reviewed 18 February 2018,0
A bit pricy,The ziplining goes by quick. Only 6 ziplines to do. We were done within 45 minutes. Yes the views are amazing. Yes itâ€™s a little adrenaline rush - but it was too pricy for what you actually get. For me the experience was a 3/5.,tropicaljess1,3.0,Reviewed 15 February 2018,0
Trip over a zip ! ,"I experienced jubilance over a rope ! Yes , the view of the fort and surrounding is breathtaking as you move through it .
It was a great episode indeed !
The overall distance covered in this tour is 1.2 kms approx and it is...More",Pratik B,5.0,Reviewed 11 February 2018,0
Lot of fun,Just do it. Lots of fun. I would go as far as saying just about anyone can do it up to age 80. Completely safe... fabulous views of the city .... and a bit of an adrenalin rush. Combine it after with a tour of...More,Ian C,5.0,Reviewed 8 February 2018,0
